Genus,Abundance,IsBee,NameVerified
Lasioglossum,31866,Y,Y
Andrena,18026,Y,Y
Ceratina,14095,Y,Y
Osmia,7479,Y,Y
Halictus,7213,Y,Y
Augochlorella,6595,Y,Y
Agapostemon,5781,Y,Y
Nomada,4227,Y,Y
Melissodes,3408,Y,Y
Bombus,2871,Y,Y
Apis,2779,Y,Y
Calliopsis,2278,Y,Y
Augochlora,1940,Y,Y
Megachile,1853,Y,Y
Hylaeus,1815,Y,Y
Ptilothrix,1217,Y,Y
Colletes,810,Y,Y
Hoplitis,738,Y,Y
Xylocopa,569,Y,Y
Peponapis,489,Y,Y
Anthidium,306,Y,Y
Sphecodes,273,Y,Y
Augochloropsis,265,Y,Y
Polistes,263,N,Y
Melitoma,232,Y,Y
Wasp,229,N,N
Eucera,216,Y,Y
Perdita,197,Y,Y
Coelioxys,191,Y,Y
Habropoda,173,Y,Y
Parancistrocerus,125,N,Y
Anthophora,123,Y,Y
Heriades,106,Y,Y
Ancistrocerus,90,N,Y
Svastra,90,Y,Y
Ant,85,N,N
Vespula,70,N,Y
Dieunomia,68,Y,Y
Euodynerus,65,N,Y
Stenodynerus,56,N,Y
Hedychrum,55,N,Y
Panurginus,55,Y,Y
Chrysura,53,N,Y
Eumenes,45,N,Y
Triepeolus,45,Y,Y
Anthidiellum,44,Y,Y
Hedychridium,41,N,Y
Stelis,40,Y,Y
Chrysis,37,N,Y
Ammophila,36,N,Y
Epeolus,36,Y,Y
Florilegus,35,Y,Y
Leptochilus,28,N,Y
Carabidae,27,N,Y
Holcopasites,26,Y,Y
Eremnophila,25,N,Y
Pseudopanurgus,24,Y,Y
Chrysidid,21,N,N
Philanthus,20,N,Y
Oxybelus,19,N,Y
Acmaeodera,17,N,Y
Tachysphex,17,N,Y
Monobia,16,N,Y
Pompilidae,15,N,Y
Pseudoanthidium,14,Y,Y
Isodontia,13,N,Y
Caenochrysis,12,N,Y
Anthophila,11,Y,Y
Pseudodynerus,11,N,Y
Ceratochrysis,10,N,Y
Tachytes,10,N,Y
Parazumia,9,N,Y
Dolichovespula,8,N,Y
Sphex,8,N,Y
Astata,7,N,Y
Chalybion,7,N,Y
Chelostoma,7,Y,Y
Larrinae,7,N,Y
Spiders,7,N,N
Bee,6,Y,N
Melitta,6,Y,Y
Tiphiinae,6,N,Y
Prionyx,5,N,Y
Scolia,5,N,Y
Sphecidae,5,N,Y
Symmorphus,5,N,Y
Argogorytes,4,N,Y
Cicindella,4,N,Y
Ectemnius,4,N,Y
Lestica,4,N,Y
Liris,4,N,Y
Lyroda,4,N,Y
Zanysson,4,N,Y
Zethus,4,N,Y
Nonbee,3,N,N
Palmodes,3,N,Y
Pteromalidae,3,N,Y
Scoliidae,3,N,Y
Sphecodogastra,3,Y,Y
Anacrabro,2,N,Y
Apidae,2,Y,N
Bicyrtes,2,N,Y
Cinthophora,2,N,N
Compsomeris,2,N,N
Epinysson,2,N,Y
Euodyrnus,2,N,N
Pseduoanthidium,2,N,N
Synnevrus,2,N,Y
Trypoxylon,2,N,Y
Typocerus,2,N,Y
Vespa,2,N,Y
